,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profil responden,,,,,Kebiasaan bermain game,,,,,Prioritas antara belajar dan bermain game,,,Pengaruh game pada daya ingat dan penalaran,,,Pengaruh game pada kesehatan mental dan fisik,,,,,
,,,,,,,,,,,,,,,,,,,,,
p0,p1,p2,p3,p4,x1p1,x1p2,x1p3,x1p4,,x2p1,x2p2,,y1p1,y1p2,y1p3,y1p4,y1p5,y1p6,y1p7,y1p8,
09/04/2023 15:27:52,18 - 25 Tahun,Perempuan,Ya,< 18 Tahun,3,2,1,1,7,2,2,4,3,3,2,1,4,1,2,1,17
09/04/2023 15:34:40,18 - 25 Tahun,Perempuan,Tidak,,3,4,1,1,9,2,2,4,3,3,2,1,3,1,1,1,15
09/04/2023 15:34:46,18 - 25 Tahun,Laki Laki,Tidak,,1,2,1,1,5,2,1,3,2,2,2,2,4,2,2,1,17
09/04/2023 15:37:11,26 - 35 Tahun,Laki Laki,Tidak,,3,3,3,3,12,2,2,4,3,3,2,3,3,3,1,2,20
09/04/2023 15:39:10,18 - 25 Tahun,Laki Laki,Tidak,,3,3,1,1,8,2,2,4,1,1,2,1,3,1,1,1,11
09/04/2023 15:47:02,18 - 25 Tahun,Laki Laki,Tidak,,2,2,2,1,7,1,2,3,3,3,2,1,1,1,1,2,14
09/04/2023 15:54:53,18 - 25 Tahun,Laki Laki,Ya,< 18 Tahun,3,3,1,1,8,2,2,4,3,3,2,1,3,1,1,1,15
09/04/2023 15:57:30,18 - 25 Tahun,Laki Laki,Tidak,,3,2,3,1,9,2,2,4,3,2,2,1,3,3,2,1,17
09/04/2023 16:09:03,18 - 25 Tahun,Perempuan,Tidak,,1,1,1,1,4,1,1,2,1,1,1,3,3,1,1,2,13
09/04/2023 16:10:30,18 - 25 Tahun,Perempuan,Ya,< 18 Tahun,1,1,1,1,4,1,2,3,3,3,2,3,4,3,2,2,22
09/04/2023 16:11:47,26 - 35 Tahun,Laki Laki,Tidak,,3,4,1,1,9,2,2,4,3,3,2,1,3,3,1,1,17
09/04/2023 16:18:54,18 - 25 Tahun,Laki Laki,Ya,18 - 25 Tahun,3,3,3,3,12,2,2,4,3,3,2,1,4,1,1,1,16
09/04/2023 16:19:31,18 - 25 Tahun,Laki Laki,Tidak,,3,3,2,1,9,1,1,2,1,1,2,1,3,2,1,1,12
09/04/2023 16:35:23,26 - 35 Tahun,Perempuan,Ya,18 - 25 Tahun,1,1,1,1,4,2,1,3,3,1,2,1,3,1,2,2,15
09/04/2023 16:36:40,26 - 35 Tahun,Perempuan,Ya,< 18 Tahun,2,2,1,1,6,1,2,3,3,3,2,3,4,3,2,1,21
09/04/2023 16:38:08,26 - 35 Tahun,Laki Laki,Tidak,,3,4,3,3,13,2,2,4,2,3,2,1,3,1,2,2,16
09/04/2023 16:38:43,26 - 35 Tahun,Laki Laki,Tidak,,3,4,4,3,14,2,2,4,2,3,2,1,1,1,1,2,13
09/04/2023 16:40:28,18 - 25 Tahun,Laki Laki,Tidak,,3,3,2,3,11,3,2,5,3,3,2,3,4,3,1,2,21
09/04/2023 16:42:41,< 18Tahun,Perempuan,Tidak,,1,2,1,3,7,2,2,4,2,3,2,3,3,1,2,1,17
09/04/2023 16:45:03,< 18Tahun,Laki Laki,Tidak,,3,1,1,1,6,3,2,5,1,3,1,1,3,3,1,1,14
09/04/2023 16:46:17,26 - 35 Tahun,Perempuan,Ya,18 - 25 Tahun,1,2,1,1,5,2,1,3,3,3,2,1,2,2,2,1,16
09/04/2023 16:48:55,> 35 Tahun,Laki Laki,Ya,> 35 Tahun,3,4,3,3,13,2,2,4,3,3,2,1,3,1,2,1,16
09/04/2023 16:52:03,18 - 25 Tahun,Laki Laki,Tidak,,3,4,3,3,13,2,2,4,2,2,2,1,3,1,2,1,14
09/04/2023 16:54:05,18 - 25 Tahun,Laki Laki,Ya,< 18 Tahun,3,4,4,3,14,3,2,5,1,3,2,1,1,1,2,2,13
09/04/2023 16:56:16,26 - 35 Tahun,Perempuan,Tidak,,1,2,1,3,7,3,2,5,2,1,2,1,1,1,2,1,11
09/04/2023 16:57:36,26 - 35 Tahun,Laki Laki,Tidak,< 18 Tahun,2,2,2,1,7,2,1,3,1,2,2,1,1,1,1,1,10
09/04/2023 16:59:22,18 - 25 Tahun,Laki Laki,Tidak,,1,1,1,1,4,1,1,2,1,1,1,1,1,1,2,2,10
09/04/2023 17:04:34,> 35 Tahun,Laki Laki,Ya,26 - 35 Tahun,3,2,1,3,9,3,2,5,2,2,2,1,2,1,2,1,13
09/04/2023 17:05:43,18 - 25 Tahun,Laki Laki,Tidak,,1,3,2,1,7,2,2,4,3,1,2,1,2,2,2,2,15
09/04/2023 17:06:26,26 - 35 Tahun,Perempuan,Tidak,,2,2,3,3,10,2,2,4,1,1,1,1,1,1,2,1,9
09/04/2023 17:06:59,> 35 Tahun,Laki Laki,Tidak,,1,2,4,3,10,3,2,5,2,2,1,2,2,2,1,1,13
09/04/2023 17:07:34,18 - 25 Tahun,Laki Laki,Ya,< 18 Tahun,1,1,2,1,5,1,1,2,3,3,2,3,4,3,2,2,22
09/04/2023 17:08:09,> 35 Tahun,Perempuan,Tidak,,3,1,1,1,6,1,1,2,3,3,2,2,2,3,2,2,19
09/04/2023 17:09:17,26 - 35 Tahun,Laki Laki,Tidak,,3,1,3,1,8,3,2,5,1,1,1,1,2,1,1,1,9
09/04/2023 17:10:01,26 - 35 Tahun,Perempuan,Ya,,1,1,2,1,5,1,1,2,2,3,2,1,4,3,2,2,19
09/04/2023 17:10:43,26 - 35 Tahun,Perempuan,Tidak,,3,1,1,3,8,3,2,5,3,3,2,3,1,1,1,1,15
09/04/2023 17:11:21,18 - 25 Tahun,Laki Laki,Ya,< 18 Tahun,1,1,4,1,7,1,1,2,3,3,2,3,4,3,2,2,22
09/04/2023 17:11:55,> 35 Tahun,Perempuan,Tidak,,3,4,4,4,15,2,2,4,2,2,1,2,2,2,1,1,13
09/04/2023 17:12:30,18 - 25 Tahun,Laki Laki,Tidak,,3,4,3,4,14,3,2,5,1,2,1,1,2,1,1,1,10
09/04/2023 17:13:00,18 - 25 Tahun,Laki Laki,Tidak,,1,4,2,3,10,1,1,2,2,3,1,3,2,3,2,1,17
09/04/2023 17:13:34,18 - 25 Tahun,Perempuan,Tidak,,3,2,2,1,8,2,2,4,3,3,2,3,4,3,2,2,22
09/04/2023 17:14:05,< 18Tahun,Laki Laki,Tidak,,3,4,3,3,13,3,1,4,1,2,2,2,3,2,2,2,16
09/04/2023 17:14:52,< 18Tahun,Laki Laki,Ya,< 18 Tahun,2,3,3,3,11,1,1,2,3,1,1,3,1,1,2,2,14
09/04/2023 17:15:18,18 - 25 Tahun,Perempuan,Tidak,,2,4,1,1,8,3,2,5,1,2,1,1,1,4,1,2,13
09/04/2023 17:15:46,< 18Tahun,Laki Laki,Tidak,,2,3,2,2,9,3,1,4,1,1,1,3,4,1,1,1,13
09/04/2023 17:16:21,26 - 35 Tahun,Laki Laki,Ya,26 - 35 Tahun,1,1,3,1,6,1,1,2,3,1,1,1,1,1,1,1,10
09/04/2023 17:17:05,26 - 35 Tahun,Laki Laki,Ya,< 18 Tahun,2,4,2,3,11,2,1,3,1,3,2,1,1,4,1,2,15
09/04/2023 17:17:33,18 - 25 Tahun,Laki Laki,Tidak,,2,2,2,1,7,1,1,2,2,2,2,2,3,2,1,1,15
09/04/2023 17:19:05,18 - 25 Tahun,Laki Laki,Tidak,,2,3,2,2,9,3,1,4,3,3,2,1,3,4,1,1,18
09/04/2023 17:19:43,26 - 35 Tahun,Perempuan,Tidak,,2,2,2,2,8,3,1,4,3,3,2,3,4,3,2,2,22
09/04/2023 17:20:30,18 - 25 Tahun,Perempuan,Tidak,,2,3,2,3,10,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 17:25:09,26 - 35 Tahun,Perempuan,Ya,< 18 Tahun,2,1,1,3,7,2,1,3,3,3,2,3,2,1,2,1,17
09/04/2023 17:26:02,< 18Tahun,Perempuan,Tidak,< 18 Tahun,1,1,1,1,4,3,2,5,2,2,2,1,1,1,2,2,13
09/04/2023 17:26:30,26 - 35 Tahun,Perempuan,Ya,< 18 Tahun,1,1,2,3,7,3,2,5,2,2,2,1,1,1,2,2,13
09/04/2023 17:26:54,< 18Tahun,Perempuan,Tidak,,1,1,1,1,4,1,1,2,2,2,1,2,2,2,1,1,13
09/04/2023 17:26:59,< 18Tahun,Laki Laki,Tidak,,2,1,5,1,9,1,1,2,3,3,2,2,4,3,2,2,21
09/04/2023 17:28:30,26 - 35 Tahun,Perempuan,Tidak,,1,2,1,1,5,2,2,4,2,2,1,1,3,3,2,1,15
09/04/2023 17:40:57,26 - 35 Tahun,Laki Laki,Ya,< 18 Tahun,3,2,1,1,7,3,2,5,3,3,2,1,1,1,2,1,14
09/04/2023 17:51:27,< 18Tahun,Perempuan,Tidak,,1,1,2,1,5,2,2,4,3,2,2,1,3,1,2,1,15
09/04/2023 17:51:44,26 - 35 Tahun,Laki Laki,Tidak,,3,2,1,1,7,2,1,3,2,3,2,1,3,3,1,1,16
09/04/2023 18:23:25,26 - 35 Tahun,Perempuan,Ya,< 18 Tahun,3,2,1,4,10,1,2,3,1,3,2,1,4,1,2,1,15
09/04/2023 18:26:46,26 - 35 Tahun,Laki Laki,Ya,< 18 Tahun,3,2,4,3,12,2,2,4,2,3,2,1,3,1,1,1,14
09/04/2023 19:07:23,26 - 35 Tahun,Laki Laki,Tidak,,3,2,1,4,10,2,1,3,2,2,2,1,3,3,1,1,15
09/04/2023 19:31:09,26 - 35 Tahun,Perempuan,Ya,18 - 25 Tahun,3,2,2,1,8,3,2,5,1,2,2,1,3,1,2,1,13
10/04/2023 08:11:06,26 - 35 Tahun,Perempuan,Ya,26 - 35 Tahun,1,1,1,3,6,2,2,4,2,3,2,2,3,1,2,1,16
10/04/2023 09:15:59,18 - 25 Tahun,Laki Laki,Tidak,18 - 25 Tahun,3,1,3,1,8,1,2,3,2,3,2,1,3,1,2,2,16
14/04/2023 05:16:31,18 - 25 Tahun,Laki Laki,Tidak,,3,3,1,1,8,1,2,3,3,2,2,2,3,1,2,2,17
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
09/04/2023 15:02:33,18 - 25 Tahun,Laki Laki,Tidak,,> 3 Tahun,> 3 Jam,Puzzle,Laptop / PC,Keduanya sama penting,Pelajaran,"Tidak, saya tidak merasa game dapat membantu meningkatkan daya ingat saya.",Saya tidak yakin,"Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Tidak, saya tidak merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game tidak berdampak signifikan pada kesehatan mental saya.,Bermain game membuat saya lebih kurang gerak atau olahraga.,"Ya, saya mengalami sakit kepala atau mata lelah ketika bermain game dalam waktu yang lama.","Tidak, saya masih dapat menjalankan aktivitas atau hobi lainnya meskipun saya sering bermain game.",,,
09/04/2023 15:10:51,26 - 35 Tahun,Laki Laki,Tidak,,> 3 Tahun,> 3 Jam,MMORPG,Laptop / PC,Keduanya sama penting,Item / Skill pada game,Saya tidak yakin,Saya tidak yakin,"Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Ya, saya merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game membuat saya merasa lebih baik secara mental.,Bermain game membuat saya lebih kurang gerak atau olahraga.,"Ya, saya mengalami sakit kepala atau mata lelah ketika bermain game dalam waktu yang lama.","Ya, saya merasa bermain game membuat saya kurang tertarik pada aktivitas atau hobi lainnya.",,,
09/04/2023 15:12:54,< 18Tahun,Laki Laki,Tidak,,> 3 Tahun,> 3 Jam,MOBA,Smartphone,Keduanya sama penting,Item / Skill pada game,"Ya, saya merasa game dapat membantu meningkatkan daya ingat saya.","Ya, saya merasa game dapat membantu meningkatkan penalaran saya.","Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Tidak, saya tidak merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game membuat saya merasa lebih buruk secara mental.,Bermain game membuat saya lebih kurang gerak atau olahraga.,"Ya, saya mengalami sakit kepala atau mata lelah ketika bermain game dalam waktu yang lama.","Tidak, saya masih dapat menjalankan aktivitas atau hobi lainnya meskipun saya sering bermain game.",,,
09/04/2023 15:13:56,18 - 25 Tahun,Perempuan,Ya,< 18 Tahun,> 3 Tahun,> 3 Jam,Battle Royale,Smartphone,Keduanya sama penting,Item / Skill pada game,"Ya, saya merasa game dapat membantu meningkatkan daya ingat saya.","Ya, saya merasa game dapat membantu meningkatkan penalaran saya.","Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Tidak, saya tidak merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game membuat saya merasa lebih buruk secara mental.,Bermain game membuat saya lebih kurang gerak atau olahraga.,"Ya, saya mengalami sakit kepala atau mata lelah ketika bermain game dalam waktu yang lama.","Ya, saya merasa bermain game membuat saya kurang tertarik pada aktivitas atau hobi lainnya.",,,
09/04/2023 15:14:47,18 - 25 Tahun,Perempuan,Tidak,18 - 25 Tahun,> 3 Tahun,2 - 3 Jam,"FPS, Battle Royale",Laptop / PC,Bermain Game,Item / Skill pada game,"Ya, saya merasa game dapat membantu meningkatkan daya ingat saya.","Ya, saya merasa game dapat membantu meningkatkan penalaran saya.","Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Tidak, saya tidak merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game membuat saya merasa lebih baik secara mental.,Bermain game tidak berdampak signifikan pada kesehatan fisik saya.,"Ya, saya mengalami sakit kepala atau mata lelah ketika bermain game dalam waktu yang lama.","Tidak, saya masih dapat menjalankan aktivitas atau hobi lainnya meskipun saya sering bermain game.",,,
09/04/2023 15:14:59,18 - 25 Tahun,Laki Laki,Tidak,,> 3 Tahun,> 3 Jam,"MOBA, MMORPG",Laptop / PC,Bermain Game,Item / Skill pada game,"Ya, saya merasa game dapat membantu meningkatkan daya ingat saya.","Ya, saya merasa game dapat membantu meningkatkan penalaran saya.","Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Ya, saya merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game membuat saya merasa lebih baik secara mental.,Bermain game membuat saya lebih kurang gerak atau olahraga.,"Ya, saya mengalami sakit kepala atau mata lelah ketika bermain game dalam waktu yang lama.","Tidak, saya masih dapat menjalankan aktivitas atau hobi lainnya meskipun saya sering bermain game.",,,
09/04/2023 15:17:31,18 - 25 Tahun,Laki Laki,Ya,18 - 25 Tahun,> 3 Tahun,> 1 Jam,MMORPG,Smartphone,Belajar,Pelajaran,"Ya, saya merasa game dapat membantu meningkatkan daya ingat saya.","Ya, saya merasa game dapat membantu meningkatkan penalaran saya.","Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Tidak, saya tidak merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game tidak berdampak signifikan pada kesehatan mental saya.,Bermain game membuat saya lebih kurang gerak atau olahraga.,"Tidak, saya jarang atau tidak pernah mengalami masalah kesehatan saat bermain game.","Tidak, saya masih dapat menjalankan aktivitas atau hobi lainnya meskipun saya sering bermain game.",,,
09/04/2023 15:19:33,18 - 25 Tahun,Laki Laki,Ya,< 18 Tahun,> 3 Tahun,2 - 3 Jam,MMORPG,Laptop / PC,Bermain Game,Item / Skill pada game,"Ya, saya merasa game dapat membantu meningkatkan daya ingat saya.","Ya, saya merasa game dapat membantu meningkatkan penalaran saya.","Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Ya, saya merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game membuat saya merasa lebih baik secara mental.,Bermain game membuat saya lebih kurang gerak atau olahraga.,"Tidak, saya jarang atau tidak pernah mengalami masalah kesehatan saat bermain game.","Ya, saya merasa bermain game membuat saya kurang tertarik pada aktivitas atau hobi lainnya.",,,
09/04/2023 15:23:12,26 - 35 Tahun,Laki Laki,Ya,18 - 25 Tahun,> 3 Tahun,> 3 Jam,MMORPG,Smartphone,Keduanya sama penting,Pelajaran,Saya tidak yakin,Saya tidak yakin,"Tidak, saya tidak merasa permainan yang memerlukan keterampilan taktik dan strategi memberikan pengaruh pada kemampuan saya dalam mengambil keputusan.","Ya, saya merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game tidak berdampak signifikan pada kesehatan mental saya.,Bermain game tidak berdampak signifikan pada kesehatan fisik saya.,"Tidak, saya jarang atau tidak pernah mengalami masalah kesehatan saat bermain game.","Tidak, saya masih dapat menjalankan aktivitas atau hobi lainnya meskipun saya sering bermain game.",,,
09/04/2023 15:27:52,18 - 25 Tahun,Perempuan,Ya,< 18 Tahun,> 3 Tahun,1 - 2 Jam,Adventure games,Smartphone,Keduanya sama penting,Item / Skill pada game,"Ya, saya merasa game dapat membantu meningkatkan daya ingat saya.","Ya, saya merasa game dapat membantu meningkatkan penalaran saya.","Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Tidak, saya tidak merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game membuat saya merasa lebih baik secara mental.,Bermain game membuat saya lebih kurang gerak atau olahraga.,"Ya, saya mengalami sakit kepala atau mata lelah ketika bermain game dalam waktu yang lama.","Tidak, saya masih dapat menjalankan aktivitas atau hobi lainnya meskipun saya sering bermain game.",,,
09/04/2023 15:34:40,18 - 25 Tahun,Perempuan,Tidak,,> 3 Tahun,> 3 Jam,MOBA,Smartphone,Keduanya sama penting,Item / Skill pada game,"Ya, saya merasa game dapat membantu meningkatkan daya ingat saya.","Ya, saya merasa game dapat membantu meningkatkan penalaran saya.","Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Tidak, saya tidak merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game tidak berdampak signifikan pada kesehatan mental saya.,Bermain game membuat saya lebih kurang gerak atau olahraga.,"Tidak, saya jarang atau tidak pernah mengalami masalah kesehatan saat bermain game.","Tidak, saya masih dapat menjalankan aktivitas atau hobi lainnya meskipun saya sering bermain game.",,,
09/04/2023 15:34:46,18 - 25 Tahun,Laki Laki,Tidak,,< 1 Tahun,1 - 2 Jam,Ludo King,Smartphone,Keduanya sama penting,Pelajaran,Saya tidak yakin,Saya tidak yakin,"Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.",Saya tidak yakin,Bermain game membuat saya merasa lebih baik secara mental.,Saya tidak yakin.,"Ya, saya mengalami sakit kepala atau mata lelah ketika bermain game dalam waktu yang lama.","Tidak, saya masih dapat menjalankan aktivitas atau hobi lainnya meskipun saya sering bermain game.",,,
09/04/2023 15:37:11,26 - 35 Tahun,Laki Laki,Tidak,,> 3 Tahun,2 - 3 Jam,"MMORPG, RPG Adventure macam Pokemon, final fantasy dan sejenisnya",Laptop / PC,Keduanya sama penting,Item / Skill pada game,"Ya, saya merasa game dapat membantu meningkatkan daya ingat saya.","Ya, saya merasa game dapat membantu meningkatkan penalaran saya.","Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Ya, saya merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game tidak berdampak signifikan pada kesehatan mental saya.,Bermain game tidak berdampak signifikan pada kesehatan fisik saya.,"Tidak, saya jarang atau tidak pernah mengalami masalah kesehatan saat bermain game.","Ya, saya merasa bermain game membuat saya kurang tertarik pada aktivitas atau hobi lainnya.",,,
09/04/2023 15:39:10,18 - 25 Tahun,Laki Laki,Tidak,,> 3 Tahun,2 - 3 Jam,MMORPG,Smartphone,Keduanya sama penting,Item / Skill pada game,"Tidak, saya tidak merasa game dapat membantu meningkatkan daya ingat saya.","Tidak, saya tidak merasa game dapat membantu meningkatkan penalaran saya.","Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Tidak, saya tidak merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game tidak berdampak signifikan pada kesehatan mental saya.,Bermain game membuat saya lebih kurang gerak atau olahraga.,"Tidak, saya jarang atau tidak pernah mengalami masalah kesehatan saat bermain game.","Tidak, saya masih dapat menjalankan aktivitas atau hobi lainnya meskipun saya sering bermain game.",,,
09/04/2023 15:47:02,18 - 25 Tahun,Laki Laki,Tidak,,1 - 3 Tahun,1 - 2 Jam,"FPS, MOBA",Smartphone,Belajar,Item / Skill pada game,"Ya, saya merasa game dapat membantu meningkatkan daya ingat saya.","Ya, saya merasa game dapat membantu meningkatkan penalaran saya.","Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Tidak, saya tidak merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game membuat saya merasa lebih buruk secara mental.,Bermain game membuat saya lebih kurang gerak atau olahraga.,"Tidak, saya jarang atau tidak pernah mengalami masalah kesehatan saat bermain game.","Ya, saya merasa bermain game membuat saya kurang tertarik pada aktivitas atau hobi lainnya.",,,
09/04/2023 15:54:53,18 - 25 Tahun,Laki Laki,Ya,< 18 Tahun,> 3 Tahun,2 - 3 Jam,MOBA,Smartphone,Keduanya sama penting,Item / Skill pada game,"Ya, saya merasa game dapat membantu meningkatkan daya ingat saya.","Ya, saya merasa game dapat membantu meningkatkan penalaran saya.","Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Tidak, saya tidak merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game tidak berdampak signifikan pada kesehatan mental saya.,Bermain game membuat saya lebih kurang gerak atau olahraga.,"Tidak, saya jarang atau tidak pernah mengalami masalah kesehatan saat bermain game.","Tidak, saya masih dapat menjalankan aktivitas atau hobi lainnya meskipun saya sering bermain game.",,,
09/04/2023 15:57:30,18 - 25 Tahun,Laki Laki,Tidak,,> 3 Tahun,1 - 2 Jam,"FPS, MOBA, Battle Royale",Smartphone,Keduanya sama penting,Item / Skill pada game,"Ya, saya merasa game dapat membantu meningkatkan daya ingat saya.",Saya tidak yakin,"Ya, saya merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan saya dalam mengambil keputusan.","Tidak, saya tidak merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game tidak berdampak signifikan pada kesehatan mental saya.,Bermain game tidak berdampak signifikan pada kesehatan fisik saya.,"Ya, saya mengalami sakit kepala atau mata lelah ketika bermain game dalam waktu yang lama.","Tidak, saya masih dapat menjalankan aktivitas atau hobi lainnya meskipun saya sering bermain game.",,,
09/04/2023 16:09:03,18 - 25 Tahun,Perempuan,Tidak,,< 1 Tahun,> 1 Jam,Masak masak,Smartphone,Belajar,Pelajaran,"Tidak, saya tidak merasa game dapat membantu meningkatkan daya ingat saya.","Tidak, saya tidak merasa game dapat membantu meningkatkan penalaran saya.","Tidak, saya tidak merasa permainan yang memerlukan keterampilan taktik dan strategi memberikan pengaruh pada kemampuan saya dalam mengambil keputusan.","Ya, saya merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama.",Bermain game tidak berdampak signifikan pada kesehatan mental saya.,Bermain game membuat saya lebih kurang gerak atau olahraga.,"Tidak, saya jarang atau tidak pernah mengalami masalah kesehatan saat bermain game.","Ya, saya merasa bermain game membuat saya kurang tertarik pada aktivitas atau hobi lainnya.",,,
